2	1	31.3	0.09
2	1	31.3	0.09
2	1	31.3	0.09
2	1	31.3	0.09
2	1	31.3	0.09
2	4	30.4	0.21
2	6	30.2	0.08
2	8	30.2	0.09
2	10	29.8	0.20

3	1	30.2	0.16
3	1	30.2	0.16
3	1	30.2	0.16
3	1	30.2	0.16
3	1	30.2	0.16
3	4	30.4	0.23
3	6	29.9	0.14
3	8	29.7	0.09
3	10	29.6	0.09

4	1	30.0	0.21
4	1	30.0	0.21
4	1	30.0	0.21
4	1	30.0	0.21
4	1	30.0	0.21
4	4	29.9	0.15
4	6	30.2	0.08
4	8	30.1	0.11
4	10	30.1	0.18

5	1	29.5	0.11
5	1	29.5	0.11
5	1	29.5	0.11
5	1	29.5	0.11
5	1	29.5	0.11
5	4	28.2	0.33
5	6	27.8	0.14
5	8	27.2	0.31
5	10	27.8	0.09

6	1	28.6	0.16
6	1	28.6	0.16
6	1	28.6	0.16
6	1	28.6	0.16
6	1	28.6	0.16
6	4	28.6	0.23
6	6	27.5	0.20
6	8	27.0	0.14
6	10	27.8	0.14

7	1	31.4	0.14
7	3	31.9	0.10
7	4	30.3	0.13
7	5	30.0	0.13
7	6	29.8	0.10
7	7	29.4	0.15
7	8	29.4	0.09
7	9	29.3	0.06
7	10	29.3	0.16

8	1	28.4	0.10
8	3	28.7	0.11
8	4	28.9	0.09
8	5	29.0	0.18
8	6	28.8	0.15
8	7	29.0	0.07
8	8	29.1	0.13
8	9	28.3	0.19
8	10	28.2	0.15

9	1	30.6	0.20
9	3	30.9	0.14
9	4	30.5	0.39
9	5	30.3	0.17
9	6	29.9	0.25
9	7	30.1	0.06
9	8	29.9	0.25
9	9	29.4	0.32
9	10	28.4	0.15

10	1	30.1	0.09
10	3	29.0	0.21
10	4	28.2	0.16
10	5	27.2	0.30
10	6	27.5	0.20
10	7	27.1	0.37
10	8	26.7	0.52
10	9	27.1	0.12
10	10	27.0	0.15

11	4	31.0	0.18
11	4	31.0	0.18
11	4	31.0	0.18
11	4	31.0	0.18
11	4	31.0	0.18
11	5	30.1	0.27
11	6	29.0	0.15
11	8	28.6	0.19
11	10	28.4	0.22

12	4	28.4	0.20
12	4	28.4	0.20
12	4	28.4	0.20
12	4	28.4	0.20
12	4	28.4	0.20
12	5	28.4	0.20
12	6	28.4	0.10
12	8	28.6	0.23
12	10	29.1	0.24

13	4	28.8	0.20
13	4	28.8	0.20
13	4	28.8	0.20
13	4	28.8	0.20
13	4	28.8	0.20
13	5	27.9	0.30
13	6	28.4	0.23
13	8	27.7	0.14
13	10	28.9	0.11

14	4	28.2	0.04
14	4	28.2	0.04
14	4	28.2	0.04
14	4	28.2	0.04
14	4	28.2	0.04
14	5	27.5	0.27
14	6	27.7	0.09
14	8	28.2	0.10
14	10	29.4	0.22

15	4	28.5	0.20
15	4	28.5	0.20
15	4	28.5	0.20
15	4	28.5	0.20
15	4	28.5	0.20
15	5	28.1	0.14
15	6	27.8	0.40
15	8	27.5	0.37
15	10	27.6	0.30

