1	1	20.0	18.3	85.29459275	0.349326741
1	5	20.3	19  	88.77426223	0.272078684
1	10	19.8	18.6	89.49040857	0.247012217

6	1	20.9	18.6	80.71913462	0.483275797
6	5	20.2	18.5	85.36897799	0.351908257
6	10	19.8	18.4	87.77453041	0.287133516

10	1	21.0	18.6	79.9600502	0.505238154
10	5	20.2	18.6	86.20951985	0.331810947
10	10	19.8	18.2	86.06863575	0.326962895

10	1	20.6	18.4	81.39156752	0.457999765
10	5	20.0	18.2	84.45218912	0.369205117
10	10	19.8	18.2	86.06863575	0.326962895

15	2	20.0	18.6	87.83659499	0.289254431
15	5	20.3	19.9	96.4997551	0.085113754
15	10	20.4	18.6	84.60875007	0.374684654

