1	1	24.8	17.2	46.394355	1.679091039
1	1	24.8	17.2	46.394355	1.679091039
1	5	24.6	18.4	54.96828538	1.39377259
1	10	24.8	19.2	59.06731784	1.282135488

6	1	23.6	16.6	48.72166447	1.494640714
6	1	23.6	16.6	48.72166447	1.494640714
6	5	23.8	17.6	54.14735941	1.352686919
6	10	23.8	18.4	59.48935886	1.195093972

8	1	24.2	17.2	49.42240667	1.528365603
8	1	24.2	17.2	49.42240667	1.528365603
8	1	24.2	17.2	49.42240667	1.528365603
8	10	24.2	17.2	49.42240667	1.528365603

10	1	24.2	16.8	46.9075489	1.604360167
10	4	24.8	17.4	47.62060827	1.640681076
10	5	23.6	18.0	57.94733612	1.225734472
10	10	22.8	18.8	68.50839558	0.874575397

15	4	22.8	16.2	50.38958301	1.377765627
15	4	22.8	16.2	50.38958301	1.377765627
15	7	22.2	18.0	66.58368884	0.894799951
15	10	24.0	19.8	67.94577641	0.957062422

